index, x, y
1113, 22, 23
1114, 23, 23
1115, 24, 23
1116, 25, 23
1117, 26, 23
1118, 27, 23
1119, 28, 23
1120, 29, 23
1121, 30, 23
1122, 31, 23
1123, 32, 23
1124, 33, 23
1125, 34, 23
1126, 35, 23
1127, 36, 23
1128, 37, 23
1129, 38, 23
1130, 39, 23
1131, 40, 23
1132, 41, 23
1133, 42, 23
1134, 43, 23
1135, 44, 23
1136, 45, 23
1137, 46, 23
1138, 47, 23
1139, 48, 23
1140, 49, 23
1141, 0, 22
1142, 1, 22
1143, 2, 22
1144, 3, 22
1145, 4, 22
1146, 5, 22
1147, 6, 22
1148, 7, 22
1149, 8, 22
1150, 9, 22
1151, 10, 22
1152, 11, 22
1153, 12, 22
1154, 13, 22
1155, 14, 22
1156, 15, 22
1157, 16, 22
1158, 17, 22
1159, 18, 22
1160, 19, 22
1161, 20, 22
1162, 21, 22
1163, 22, 22
1164, 23, 22
1165, 24, 22
1166, 25, 22
1167, 26, 22
1168, 27, 22
1169, 28, 22
1170, 29, 22
1171, 30, 22
1172, 31, 22
1173, 32, 22
1174, 33, 22
1175, 34, 22
1176, 35, 22
1177, 36, 22
1178, 37, 22
1179, 38, 22
1180, 39, 22
1181, 40, 22
1182, 41, 22
1183, 42, 22
1184, 43, 22
1185, 44, 22
1186, 45, 22
1187, 46, 22
1188, 47, 22
1189, 48, 22
1190, 49, 22
1191, 0, 21
1192, 1, 21
1193, 2, 21
1194, 3, 21
1195, 4, 21
1196, 5, 21
1197, 6, 21
1198, 7, 21
1199, 8, 21
1200, 9, 21
1201, 10, 21
1202, 11, 21
1203, 12, 21
1204, 13, 21
1205, 14, 21
1206, 15, 21
1207, 16, 21
1208, 17, 21
1209, 18, 21
1210, 19, 21
1211, 20, 21
1212, 21, 21
1213, 22, 21
1214, 23, 21
1215, 24, 21
1216, 25, 21
1217, 26, 21
1218, 27, 21
1219, 28, 21
1220, 29, 21
1221, 30, 21
1222, 31, 21
1223, 32, 21
1224, 33, 21
1225, 34, 21
1226, 35, 21
1227, 36, 21
1228, 37, 21
1229, 38, 21
1230, 39, 21
1231, 40, 21
1232, 41, 21
1233, 42, 21
1234, 43, 21
1235, 44, 21
1236, 45, 21
1237, 46, 21
1238, 47, 21
1239, 48, 21
1240, 49, 21
1241, 0, 20
1242, 1, 20
1243, 2, 20
1244, 3, 20
1245, 4, 20
1246, 5, 20
1247, 6, 20
1248, 7, 20
1249, 8, 20
1250, 9, 20
1251, 10, 20
1252, 11, 20
1253, 12, 20
1254, 13, 20
1255, 14, 20
1256, 15, 20
1257, 16, 20
1258, 17, 20
1259, 18, 20
1260, 19, 20
1261, 20, 20
1262, 21, 20
1263, 22, 20
1264, 23, 20
1265, 24, 20
1266, 25, 20
1267, 26, 20
1268, 27, 20
1269, 28, 20
1270, 29, 20
1271, 30, 20
1272, 31, 20
1273, 32, 20
1274, 33, 20
1275, 34, 20
1276, 35, 20
1277, 36, 20
1278, 37, 20
1279, 38, 20
1280, 39, 20
1281, 40, 20
1282, 41, 20
1283, 42, 20
1284, 43, 20
1285, 44, 20
1286, 45, 20
1287, 46, 20
1288, 47, 20
1289, 48, 20
1290, 49, 20
1291, 0, 19
1292, 1, 19
1293, 2, 19
1294, 3, 19
1295, 4, 19
1296, 5, 19
1297, 6, 19
1298, 7, 19
1299, 8, 19
1300, 9, 19
1301, 10, 19
1302, 11, 19
1303, 12, 19
1304, 13, 19
1305, 14, 19
1306, 15, 19
1307, 16, 19
1308, 17, 19
1309, 18, 19
1310, 19, 19
1311, 20, 19
1312, 21, 19
1313, 22, 19
1314, 23, 19
1315, 24, 19
1316, 25, 19
1317, 26, 19
1318, 27, 19
1319, 28, 19
1320, 29, 19
1321, 30, 19
1322, 31, 19
1323, 32, 19
1324, 33, 19
1325, 34, 19
1326, 35, 19
1327, 36, 19
1328, 37, 19
1329, 38, 19
1330, 39, 19
1331, 40, 19
1332, 41, 19
1333, 42, 19
1334, 43, 19
1335, 44, 19
1336, 45, 19
1337, 46, 19
1338, 47, 19
1339, 48, 19
1340, 49, 19
1341, 0, 18
1342, 1, 18
1343, 2, 18
1344, 3, 18
1345, 4, 18
1346, 5, 18
1347, 6, 18
1348, 7, 18
1349, 8, 18
1350, 9, 18
1351, 10, 18
1352, 11, 18
1353, 12, 18
1354, 13, 18
1355, 14, 18
1356, 15, 18
1357, 16, 18
1358, 17, 18
1359, 18, 18
1360, 19, 18
1361, 20, 18
1362, 21, 18
1363, 22, 18
1364, 23, 18
1365, 24, 18
1366, 25, 18
1367, 26, 18
1368, 27, 18
1369, 28, 18
1370, 29, 18
1371, 30, 18
1372, 31, 18
1373, 32, 18
1374, 33, 18
1375, 34, 18
1376, 35, 18
1377, 36, 18
1378, 37, 18
1379, 38, 18
1380, 39, 18
1381, 40, 18
1382, 41, 18
1383, 42, 18
1384, 43, 18
1385, 44, 18
1386, 45, 18
1387, 46, 18
1388, 47, 18
1389, 48, 18
1390, 49, 18
1391, 0, 17
1392, 1, 17
1393, 2, 17
1394, 3, 17
1395, 4, 17
1396, 5, 17
1397, 6, 17
1398, 7, 17
1399, 8, 17
1400, 9, 17
1401, 10, 17
1402, 11, 17
1403, 12, 17
1404, 13, 17
1405, 14, 17
1406, 15, 17
1407, 16, 17
1408, 17, 17
1409, 18, 17
1410, 19, 17
1411, 20, 17
1412, 21, 17
1413, 22, 17
1414, 23, 17
1415, 24, 17
1416, 25, 17
1417, 26, 17
1418, 27, 17
1419, 28, 17
1420, 29, 17
1421, 30, 17
1422, 31, 17
1423, 32, 17
1424, 33, 17
1425, 34, 17
1426, 35, 17
1427, 36, 17
1428, 37, 17
1429, 38, 17
1430, 39, 17
1431, 40, 17
1432, 41, 17
