index, temperature
769, 150.850311305
770, 155.008093284
771, 159.106476946
772, 163.141486735
773, 167.109814445
774, 171.008980184
775, 174.837485602
776, 178.594960874
777, 182.282312121
778, 185.901882348
779, 189.457647143
780, 192.955477755
781, 196.403521902
782, 199.812783145
783, 203.198035619
784, 206.57932
785, 209.98448985
786, 213.453756489
787, 217.048243269
788, 220.866915789
789, 225.080974196
790, 230.0
791, 30.0
792, 34.4807270914
793, 38.9613910953
794, 43.4419141944
795, 47.9221888621
796, 52.4020623879
797, 56.8813206742
798, 61.3596710886
799, 65.8367241842
800, 70.3119741434
801, 74.7847778592
802, 79.2543326511
803, 83.719652726
804, 88.1795446403
805, 92.6325822062
806, 97.0770815196
807, 101.51107706
808, 105.932300128
809, 110.338161232
810, 114.725738356
811, 119.091773359
812, 123.432678937
813, 127.744558615
814, 132.023242055
815, 136.264337441
816, 140.463301892
817, 144.615529722
818, 148.716456976
819, 152.761679335
820, 156.747079235
821, 160.668957405
822, 164.524164018
823, 168.310225621
824, 172.025465831
825, 175.669120558
826, 179.241452015
827, 182.743870137
828, 186.179075587
829, 189.55124627
830, 192.866301159
831, 196.132295747
832, 199.360041548
833, 202.564118969
834, 205.764621718
835, 208.990381931
836, 212.285556905
837, 215.725030767
838, 219.456980997
839, 223.843240627
840, 230.0
841, 30.0
842, 34.4266262004
843, 38.8529633085
844, 43.2787076156
845, 47.7035259855
846, 52.1270406614
847, 56.5488135142
848, 60.9683295813
849, 65.3849797701
850, 69.7980426532
851, 74.206665334
852, 78.6098434495
853, 83.0064004758
854, 87.3949666341
855, 91.7739578546
856, 96.1415554456
857, 100.49568733
858, 104.834011945
859, 109.153906144
860, 113.452458648
861, 117.726470774
862, 121.972466236
863, 126.186711749
864, 130.365249942
865, 134.503945608
866, 138.598545653
867, 142.644752229
868, 146.638307544
869, 150.575087845
870, 154.451203255
871, 158.26309963
872, 162.007658603
873, 165.682292452
874, 169.285031542
875, 172.81460351
876, 176.270505246
877, 179.653070596
878, 182.963538798
879, 186.20413058
880, 189.378140717
881, 192.490057136
882, 195.545715858
883, 198.552492609
884, 201.51949612
885, 204.457592614
886, 207.378571652
887, 210.290669379
888, 213.178678396
889, 215.915981512
890, 217.860448692
891, 30.0
892, 34.3728144017
893, 38.7451283228
894, 43.116426974
895, 47.4861668031
896, 51.8537607578
897, 56.2185631401
898, 60.5798539521
899, 64.9368226619
900, 69.2885513654
901, 73.633997374
902, 77.971975337
903, 82.3011390936
904, 86.6199635657
905, 90.9267271325
906, 95.2194950784
907, 99.4961048689
908, 103.754154178
909, 107.990992751
910, 112.203719318
911, 116.389184854
912, 120.544003484
913, 124.664572203
914, 128.747100356
915, 132.787649397
916, 136.782182883
917, 140.726625997
918, 144.616933124
919, 148.449161246
920, 152.219546308
921, 155.924579259
922, 159.56107831
923, 163.126254044
924, 166.617764373
925, 170.033756697
926, 173.372894862
927, 176.634368202
928, 179.817878429
929, 182.923596536
930, 185.952073994
931, 188.90407622
932, 191.78027214
933, 194.580639489
934, 197.303277539
935, 199.941920752
936, 202.480467711
937, 204.880396701
938, 207.051081696
939, 208.781558332
940, 209.609831746
941, 30.0
942, 34.3195030835
943, 38.638308607
944, 42.9557051545
945, 47.2709534952
946, 51.5832724265
947, 55.8918243362
948, 60.195700425
949, 64.4939055602
950, 68.7853427723
951, 73.0687974595
952, 77.342921431
953, 81.606216996
954, 85.8570214025
955, 90.0934920312
956, 94.3135928666
957, 98.5150828896
958, 102.695507147
959, 106.852191364
960, 110.982241018
961, 115.082545841
962, 119.149790642
963, 123.180473221
964, 127.170929883
965, 131.117368742
966, 135.015910483
967, 138.862635752
968, 142.653637711
969, 146.385077709
970, 150.053241472
971, 153.654592789
972, 157.185821333
973, 160.64388104
974, 164.026015211
975, 167.32976404
976, 170.552949304
977, 173.693628923
978, 176.750010179
979, 179.720303141
980, 182.602482501
981, 185.393901612
982, 188.090656993
983, 190.686515668
984, 193.171053795
985, 195.526345145
986, 197.720981739
987, 199.699368018
988, 201.363693355
989, 202.549338375
990, 203.015761627
